Expediente_INVIMA;principio_activo;concentracion;unidad_base;unidad_de_dispensacion;nombre_comercial;fabricante;medicamento;canal;precio_por_tableta;factoresprecio;numerofactor
1980805;tetrinoina;tetrinoina 0,05 g;g;Cremas o geles o ungüentos o pomadas o pastas o jaleas;Retacnyl;Galderma;Retacnyl (Galderma) - tubo 30 g - Cada 100 g contiene: tetrinoina 0,05 g;Comercial;86,225.00;Alto;3
1980885;oxcarbazepina;oxcarbazepina 300 mg;ml;Solución o suspensión oral;Trileptal;Novartis;Trileptal (Novartis) - frasco 100 ml - Cada 5 ml contiene: oxcarbazepina 300 mg;Comercial;25,446.50;Medio;2
1981018;furosemida;furosemida 40 mg;mg;Tableta o cápsula;Furosemida;American Generics;Furosemida (American Generics) - Cada tableta contiene: furosemida 40 mg;Comercial;158.53;Medio;2
1981154;nafazolina y feniramina;feniramina 3 ml + nafazolina 0,25 ml;ml;Solución o suspensión oftálmica;Oq - Fresh;Oftalmoquimica;Oq - Fresh (Oftalmoquimica) - frasco 5 ml - Cada 1 ml contiene: feniramina 3 ml + nafazolina 0,25 ml;Comercial;52,400.00;Medio;2
1981505;gemfibrozil;gemfibrozil 600 mg;mg;Tableta o cápsula;Gemfibrozilo;Winthrop;Gemfibrozilo (Winthrop) - Cada tableta contiene: gemfibrozil 600 mg;Comercial;630.60;Medio;2
1982214;dextrosa;dextrosa 10 g;ml;Solución o suspensión inyectable;Dextrosa Al 10%;Baxter;Dextrosa Al 10% (Baxter) - bolsa 250 ml - Cada 100 ml contiene: dextrosa 10 g;Comercial;2,338.83;Medio;2
1982542;diclofenaco;diclofenaco 1 g;g;Cremas o geles o ungüentos o pomadas o pastas o jaleas;Diclofenaco;Genfar;Diclofenaco (Genfar) - tubo 50 g - Cada 100 g contiene: diclofenaco 1 g;Comercial;15,325.18;Medio;2
1982997;ketoprofeno;ketoprofeno 100 mg;mg;Solución o suspensión inyectable;Ketoprofeno;Genfar;Ketoprofeno (Genfar) - ampolla 2 mg - Cada 2 ml contiene: ketoprofeno 100 mg;Comercial;3,546.10;Bajo;1
1983231;albendazol;albendazol 2 g;ml;Solución o suspensión oral;Helminzol;Biochem;Helminzol (Biochem) - frasco 20 ml - Cada 100 ml contiene: albendazol 2 g;Comercial;9,916.83;Alto;3
1983281;acido acetilsalicilico;acido acetil salicilico 100 mg;mg;Tableta o cápsula;Cardioaspirina;Bayer;Cardioaspirina (Bayer) - Cada tableta contiene: acido acetil salicilico 100 mg;Comercial;1,545.68;Alto;3
1983590;cefradina;cefradina 1000 mg;mg;Tableta o cápsula;Cefradina;Tecnoquimicas;Cefradina (Tecnoquimicas) - Cada tableta contiene: cefradina 1000 mg;Comercial;4,893.20;Medio;2
1983607;vitamina e;vitamina e 400 ui;ui;Tableta o cápsula;Aquasol E;Siegfried;Aquasol E (Siegfried) - Cada capsula contiene: vitamina e 400 ui;Comercial;1,335.03;Alto;3
1983645;piroxicam;piroxicam 20 mg;mg;Tableta o cápsula;Piroxicam;Tecnoquimicas;Piroxicam (Tecnoquimicas) - Cada capsula contiene: piroxicam 20 mg;Comercial;371.13;Bajo;1
1983779;betametasona;betametasona 4 mg;mg;Solución o suspensión inyectable;Celestone;Merck Sharp Dome;Celestone (Merck Sharp Dome) - ampolla 1 mg - Cada 1 ml contiene: betametasona 4 mg;Comercial;19,216.17;Alto;3
1983837;metronidazol;metronidazol 500 mg;mg;Óvulo;Metronidazol;Colmed;Metronidazol (Colmed) - Cada ovulo contiene: metronidazol 500 mg;Comercial;695.47;Bajo;1
1983914;isoconazol;isoconazol 600 mg;mg;Óvulo;Ilana;Procaps;Ilana (Procaps) - Cada ovulo contiene: isoconazol 600 mg;Comercial;68,118.18;Medio;2
1983917;diclofenaco e hidroxido de aluminio;hidroxido de aluminio 200 mg + diclofenaco 100 mg;mg;Tableta o cápsula;Diclofenaco;Procaps;Diclofenaco (Procaps) - Cada capsula contiene: hidroxido de aluminio 200 mg + diclofenaco 100 mg;Comercial;1,055.41;Medio;2
1984133;cefalexina;cefalexina 500 mg;mg;Tableta o cápsula;Cefalexina;Lafrancol;Cefalexina (Lafrancol) - Cada tableta contiene: cefalexina 500 mg;Comercial;673.23;Bajo;1
1984178;cefradina;cefradina 500 mg;mg;Tableta o cápsula;Cefradina;Lafrancol;Cefradina (Lafrancol) - Cada capsula contiene: cefradina 500 mg;Comercial;1,299.93;Medio;2
1984338;haloperidol;haloperidol 5 mg;mg;Tableta o cápsula;Haloperidol;Memphis;Haloperidol (Memphis) - Cada tableta contiene: haloperidol 5 mg;Comercial;304.86;Alto;3
1984368;cefalexina;cefalexina 500 mg;mg;Tableta o cápsula;Cefalexina;La Sante;Cefalexina (La Sante) - Cada capsula contiene: cefalexina 500 mg;Comercial;653.04;Bajo;1
1984797;cefalexina;cefalexina 500 mg;mg;Tableta o cápsula;Cefalexina;Tecnoquimicas;Cefalexina (Tecnoquimicas) - Cada capsula contiene: cefalexina 500 mg;Comercial;730.06;Medio;2
1984916;fexofenadina;fexofenadina 120 mg;mg;Tableta o cápsula;Allegra;Sanofi Aventis;Allegra (Sanofi Aventis) - Cada tableta contiene: fexofenadina 120 mg;Comercial;5,976.50;Alto;3
1985022;ibuprofeno;ibuprofeno 2 g;ml;Solución o suspensión oral;Ibuprofeno;American Generics;Ibuprofeno (American Generics) - frasco 120 ml - Cada 100 ml contiene: ibuprofeno 2 g;Comercial;7,445.17;Bajo;1
1985058;tinidazol;tinidazol 1 g;g;Tableta o cápsula;Tinidazol;Genfar;Tinidazol (Genfar) - Cada tableta contiene: tinidazol 1 g;Comercial;881.90;Medio;2
19851;cefotaxima;cefotaxima 1 g;g;Polvo para reconstituir a Solución o suspensión inyectable;Cefotaxima;Vitalis;Cefotaxima (Vitalis) - Cada vial contiene: cefotaxima 1 g;Comercial;4,780.00;Medio;2
19900013;aceite de oliva y aceite de soya;mezcla de aceite de oliva (80%) y aceite de soya(20%) 20 g;ml;Emulsión inyectable;Clinoleic;Baxter;Clinoleic (Baxter) - bolsa 500 ml - Cada 100 ml contiene: mezcla de aceite de oliva (80%) y aceite de soya(20%) 20 g;Comercial;63,800.17;Medio;2
19900048;metronidazol;metronidazol 500 mg;mg;Óvulo;Metronidazol;Tecnofar;Metronidazol (Tecnofar) - Cada ovulo contiene: metronidazol 500 mg;Comercial;835.88;Medio;2
19900063;benzidamina;benzidamina 3 mg;mg;Tableta o cápsula;Benzirin;Aziende;Benzirin (Aziende) - Cada tableta contiene: benzidamina 3 mg;Comercial;1,841.59;Medio;2
19900234;factor xiii de coagulacion;factor xiii de coagulacion;ml;Solución o suspensión tópica;Beriplast;Csl;Beriplast (Csl) - Cada vial contiene: factor xiii de coagulacion;Comercial;177,979.33;Medio;2
19900235;factor xiii combinaciones;factor xiii combinaciones;ml;Polvo para reconstituir a Solución o suspensión inyectable;Beriplast;Csl;Beriplast (Csl) - Cada vial contiene: factor xiii combinaciones;Comercial;216,500.00;Medio;2
19900270;l-ornitina-l-aspartatato;l-ornitina-l-aspartatato 3 g;g;Polvos o granulados;Hepa- Merz;Merz Pharmaceuticals;Hepa- Merz (Merz Pharmaceuticals) - Cada sobre contiene: l-ornitina-l-aspartatato 3 g;Comercial;21,045.00;Medio;2
19900428;dexametasona + gentamicina + ketoconazol;ketoconazol 2 g + dexametasona 0,04 g + gentamicina 0,1 g;g;Cremas o geles o ungüentos o pomadas o pastas o jaleas;Dermatrex;Farma;Dermatrex (Farma) - tubo 20 g - Cada 100 g contiene: ketoconazol 2 g + dexametasona 0,04 g + gentamicina 0,1 g;Comercial;27,928.42;Medio;2
19900482;l-ornitina-l-aspartatato;l-ornitina-l-aspartatato 5 g;ml;Solución o suspensión inyectable;Hepa-Merz;Merz Pharmaceuticals;Hepa-Merz (Merz Pharmaceuticals) - ampolla 10 ml - Cada 10 ml contiene: l-ornitina-l-aspartatato 5 g;Comercial;35,598.58;Medio;2
19900484;hidroclorotiazida y losartan;hidroclorotiazida 12,5 mg + losartan potasico 50 mg;mg;Tableta o cápsula;Satoren;Bussié;Satoren (Bussié) - Cada tableta contiene: hidroclorotiazida 12,5 mg + losartan potasico 50 mg;Comercial;6,159.43;Alto;3
19900498;levonorgestrel;levonorgestrel 52 mg;mg;Implante;Mirena;Bayer;Mirena (Bayer) - Cada implante intrauterino contiene: levonorgestrel 52 mg;Comercial;381,491.50;Medio;2
19900510;ibuprofeno;ibuprofeno 400 mg;mg;Tableta o cápsula;Motrin;Pfizer;Motrin (Pfizer) - Cada tableta contiene: ibuprofeno 400 mg;Comercial;1,102.00;Medio;2
19900511;ibuprofeno;ibuprofeno 600 mg;mg;Tableta o cápsula;Motrin;Pfizer;Motrin (Pfizer) - Cada tableta contiene: ibuprofeno 600 mg;Comercial;2,135.01;Medio;2
19900625;salbutamol;salbutamol 100 mcg;dosis;Aerosoles;Ventilan Osp;Glaxosmithkline;Ventilan Osp (Glaxosmithkline) - aerosol 200 dosis - Cada 1 dosis contiene: salbutamol 100 mcg;Comercial;18,160.00;Alto;3
19900840;celecoxib;celecoxib 200 mg;mg;Tableta o cápsula;Celebrex;Pfizer;Celebrex (Pfizer) - Cada capsula contiene: celecoxib 200 mg;Comercial;1,269.00;Alto;3
19900906;biperideno;biperideno 2 mg;mg;Tableta o cápsula;Biperideno;Tecnoquimicas;Biperideno (Tecnoquimicas) - Cada tableta contiene: biperideno 2 mg;Comercial;449.60;Medio;2
19900981;ciprofloxacina;ciprofloxacina 3 mg;mg;Solución o suspensión ótica;Otosec;Siegfried;Otosec (Siegfried) - frasco 10 mg - Cada 10 ml contiene: ciprofloxacina 3 mg;Comercial;45,084.83;Medio;2
19901027;acetaminofen y cafeina;cafeina 50 mg + acetaminofen 500 mg;mg;Tableta o cápsula;Dolofen Forte;Procaps;Dolofen Forte (Procaps) - Cada tableta contiene: cafeina 50 mg + acetaminofen 500 mg;Comercial;876.25;Medio;2
19901079;triclosan;triclosan 0,2 g;g;Polvos o granulados;Yodora;Tecnofar;Yodora (Tecnofar) - frasco 60 g - Cada 100 g contiene: triclosan 0,2 g;Comercial;21,452.50;Medio;2
19901231;fluconazol;fluconazol 150 mg;mg;Tableta o cápsula;Fluconazol;Memphis;Fluconazol (Memphis) - Cada capsula contiene: fluconazol 150 mg;Comercial;1,342.50;Bajo;1
19901250;metoprolol;metoprolol 200 mg;mg;Tableta o cápsula de liberación modificada;Betaloc Zok;Astrazeneca;Betaloc Zok (Astrazeneca) - Cada tableta contiene: metoprolol 200 mg;Comercial;1,968.00;Medio;2
19901371;claritromicina;claritromicina 500 mg;mg;Tableta o cápsula;Claritromicina;Memphis;Claritromicina (Memphis) - Cada tableta contiene: claritromicina 500 mg;Comercial;2,886.90;Medio;2
